<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURPLN,D,20040719,000000,4.4206,4.4487,4.409,4.4338,0,0
EURPLN,D,20040720,000000,4.4421,4.4747,4.4313,4.4648,0,0
EURPLN,D,20040721,000000,4.4642,4.481,4.444,4.4559,0,0
EURPLN,D,20040722,000000,4.4598,4.4631,4.4344,4.441,0,0
EURPLN,D,20040723,000000,4.4386,4.4469,4.4128,4.4452,0,0
EURPLN,D,20040726,000000,4.4443,4.4505,4.4311,4.4432,0,0
EURPLN,D,20040727,000000,4.4382,4.4428,4.4146,4.4173,0,0
EURPLN,D,20040728,000000,4.4194,4.425,4.3944,4.4168,0,0
EURPLN,D,20040729,000000,4.4173,4.4186,4.3759,4.3785,0,0
EURPLN,D,20040730,000000,4.3685,4.3963,4.3685,4.375,0,0
EURPLN,D,20040802,000000,4.3917,4.4042,4.3735,4.3889,0,0
EURPLN,D,20040803,000000,4.3882,4.439,4.3865,4.4254,0,0
EURPLN,D,20040804,000000,4.4218,4.4386,4.3972,4.401,0,0
EURPLN,D,20040805,000000,4.4034,4.4134,4.3827,4.3917,0,0
EURPLN,D,20040806,000000,4.392,4.4142,4.3776,4.3831,0,0
EURPLN,D,20040809,000000,4.3914,4.3914,4.3678,4.382,0,0
EURPLN,D,20040810,000000,4.3783,4.399,4.3704,4.397,0,0
EURPLN,D,20040811,000000,4.4083,4.4395,4.397,4.4138,0,0
EURPLN,D,20040812,000000,4.4128,4.4164,4.3952,4.4115,0,0
EURPLN,D,20040813,000000,4.4171,4.4604,4.4147,4.4438,0,0
EURPLN,D,20040816,000000,4.4489,4.4539,4.4181,4.4238,0,0
EURPLN,D,20040817,000000,4.4277,4.443,4.4042,4.4319,0,0
EURPLN,D,20040818,000000,4.4285,4.4553,4.4211,4.4528,0,0
EURPLN,D,20040819,000000,4.4622,4.4758,4.4511,4.4667,0,0
EURPLN,D,20040820,000000,4.4742,4.4881,4.4513,4.4602,0,0
EURPLN,D,20040823,000000,4.4605,4.4651,4.4142,4.4226,0,0
EURPLN,D,20040824,000000,4.4235,4.4472,4.4015,4.4434,0,0
EURPLN,D,20040825,000000,4.4348,4.4446,4.3874,4.4274,0,0
EURPLN,D,20040826,000000,4.4317,4.5025,4.4266,4.4873,0,0
EURPLN,D,20040827,000000,4.4938,4.4959,4.4437,4.4485,0,0
EURPLN,D,20040830,000000,4.4463,4.4687,4.4377,4.4414,0,0
EURPLN,D,20040831,000000,4.4499,4.46,4.4354,4.4463,0,0
EURPLN,D,20040901,000000,4.4461,4.4475,4.4324,4.4356,0,0
EURPLN,D,20040902,000000,4.4427,4.4476,4.4226,4.4226,0,0
EURPLN,D,20040903,000000,4.4294,4.4331,4.4043,4.4077,0,0
EURPLN,D,20040906,000000,4.4142,4.4158,4.3842,4.3879,0,0
EURPLN,D,20040907,000000,4.3907,4.3943,4.3671,4.3861,0,0
EURPLN,D,20040908,000000,4.3869,4.3988,4.3777,4.3853,0,0
EURPLN,D,20040909,000000,4.3882,4.3921,4.3665,4.3864,0,0
